@code{.c}
================================================
  NLOC    CCN   token  PARAM  length  location
------------------------------------------------
       3      1     16      1       3 QHsm_state@410-412@..\include\qep.h
       3      1     15      1       3 QEQueue_getNFree@306-308@..\include\qequeue.h
       3      1     15      1       3 QEQueue_getNMin@323-325@..\include\qequeue.h
       3      1     21      1       3 QEQueue_isEmpty@342-344@..\include\qequeue.h
       5      2     33      1       8 QPSet_setEmpty@245-252@..\include\qf.h
       4      3     44      1       7 QPSet_isEmpty@255-261@..\include\qf.h
       4      3     44      1       7 QPSet_notEmpty@264-270@..\include\qf.h
       8      3     95      2      11 QPSet_hasElement@273-283@..\include\qf.h
      11      3    105      2      14 QPSet_insert@286-299@..\include\qf.h
      12      3    117      2      15 QPSet_remove@302-316@..\include\qf.h
       6      3     56      1       9 QPSet_findMax@319-327@..\include\qf.h
       6      1     20      2       6 QF_psInit@1405-1410@..\include\qf.h
       3      1     20      1       3 QEvt_refCtr_inc_@180-182@..\include\qf_pkg.h
       3      1     20      1       3 QEvt_refCtr_dec_@189-191@..\include\qf_pkg.h
      14      3     67      1      14 QS_rxPut@892-905@..\include\qs.h
       7      1     33      3       7 QHsm_reservedEvt_@90-96@..\src\qf\qep_hsm.c
      18      3    101      2      24 QHsm_isIn@103-126@..\src\qf\qep_hsm.c
      22      4    125      2      31 QHsm_childState@129-159@..\src\qf\qep_hsm.c
      12      2     57      2      14 QHsm_ctor@162-175@..\src\qf\qep_hsm.c
       7      1     29      2       7 QHsm_top@178-184@..\src\qf\qep_hsm.c
      55     10    386      3      82 QHsm_init_@187-268@..\src\qf\qep_hsm.c
     101     15    631      3     154 QHsm_dispatch_@271-424@..\src\qf\qep_hsm.c
       3      1     16      1       3 QHsm_getStateHandler_@428-430@..\src\qf\qep_hsm.c
      91     15    480      3     132 QHsm_tran_@434-565@..\src\qf\qep_hsm.c
      14      3     79      3      17 QHsm_state_entry_@568-584@..\src\qf\qep_hsm.c
      20      3     96      3      23 QHsm_state_exit_@587-609@..\src\qf\qep_hsm.c
      15      3     69      2      16 QMsm_isInState@81-96@..\src\qf\qep_msm.c
       3      1     17      1       3 QMsm_stateObj@99-101@..\src\qf\qep_msm.c
      31      7    153      2      38 QMsm_childStateObj@104-141@..\src\qf\qep_msm.c
      12      2     60      2      15 QMsm_ctor@144-158@..\src\qf\qep_msm.c
      27      4    202      3      45 QMsm_init_@161-205@..\src\qf\qep_msm.c
     118     19    740      3     169 QMsm_dispatch_@208-376@..\src\qf\qep_msm.c
       3      1     18      1       3 QMsm_getStateHandler_@380-382@..\src\qf\qep_msm.c
      55      9    317      3      70 QMsm_execTatbl_@386-455@..\src\qf\qep_msm.c
      24      4    132      4      33 QMsm_exitToTranSource_@458-490@..\src\qf\qep_msm.c
      45      6    243      3      56 QMsm_enterHistory_@493-548@..\src\qf\qep_msm.c
      82     14    431      4     122 QActive_post_@70-191@..\src\qf\qf_actq.c
      44      7    266      2      66 QActive_postLIFO_@196-261@..\src\qf\qf_actq.c
      34      3    233      1      44 QActive_get_@266-309@..\src\qf\qf_actq.c
      10      2     60      1      11 QF_getQueueMin@315-325@..\src\qf\qf_actq.c
      16      2     79      2      20 QTicker_ctor@344-363@..\src\qf\qf_actq.c
      10      1     45      3      11 QTicker_init_@366-376@..\src\qf\qf_actq.c
      16      2     90      3      18 QTicker_dispatch_@379-396@..\src\qf\qf_actq.c
      30      2    156      4      39 QTicker_post_@399-437@..\src\qf\qf_actq.c
       8      1     30      2       9 QTicker_postLIFO_@440-448@..\src\qf\qf_actq.c
      15      1     84      3      17 QActive_defer@65-81@..\src\qf\qf_defer.c
      34      3    169      2      54 QActive_recall@86-139@..\src\qf\qf_defer.c
      13      3     68      2      15 QActive_flushDeferred@144-158@..\src\qf\qf_defer.c
      17      3    116      3      26 QF_poolInit@86-111@..\src\qf\qf_dyn.c
       3      1     17      1       3 QF_poolGetMaxBlockSize@114-116@..\src\qf\qf_dyn.c
       9      3     59      1      12 QF_getPoolMin@119-130@..\src\qf\qf_dyn.c
      39      7    234      3      57 QF_newX_@133-189@..\src\qf\qf_dyn.c
      30      4    188      1      46 QF_gc@192-237@..\src\qf\qf_dyn.c
      20      3     99      2      30 QF_newRef_@240-269@..\src\qf\qf_dyn.c
      11      2     67      1      15 QF_deleteRef_@272-286@..\src\qf\qf_dyn.c
      32      5    233      4      50 QMPool_init@67-116@..\src\qf\qf_mem.c
      45      5    241      3      74 QMPool_get@119-192@..\src\qf\qf_mem.c
      19      3    117      3      28 QMPool_put@195-222@..\src\qf\qf_mem.c
       8      1     35      2      13 QActive_psInit@73-85@..\src\qf\qf_ps.c
      42      6    231      3      75 QActive_publish_@90-164@..\src\qf\qf_ps.c
      18      5    111      2      24 QActive_subscribe@169-192@..\src\qf\qf_ps.c
      18      5    111      2      27 QActive_unsubscribe@197-223@..\src\qf\qf_ps.c
      19      5    130      1      24 QActive_unsubscribeAll@228-251@..\src\qf\qf_ps.c
      10      2     46      2      10 QF_bzero@85-94@..\src\qf\qf_qact.c
      16      2     72      2      23 QActive_ctor@101-123@..\src\qf\qf_qact.c
      28     10    225      1      47 QActive_register_@128-174@..\src\qf\qf_qact.c
      10      3     79      1      15 QActive_unregister_@179-193@..\src\qf\qf_qact.c
      24      6    143      1      29 QF_LOG2@201-229@..\src\qf\qf_qact.c
      14      2     84      3      14 QEQueue_init@67-80@..\src\qf\qf_qeq.c
      57      8    301      4      78 QEQueue_post@83-160@..\src\qf\qf_qeq.c
      36      5    199      3      48 QEQueue_postLIFO@163-210@..\src\qf\qf_qeq.c
      38      4    219      2      50 QEQueue_get@213-262@..\src\qf\qf_qeq.c
      16      2     79      2      35 QMActive_ctor@74-108@..\src\qf\qf_qmact.c
      15      2     96      4      32 QTimeEvt_ctorX@78-109@..\src\qf\qf_time.c
      33      8    225      3      59 QTimeEvt_armX@112-170@..\src\qf\qf_time.c
      31      3    173      1      41 QTimeEvt_disarm@173-213@..\src\qf\qf_time.c
      36      8    230      2      64 QTimeEvt_rearm@216-279@..\src\qf\qf_time.c
       5      1     36      1       5 QTimeEvt_wasDisarmed@282-286@..\src\qf\qf_time.c
       7      1     30      1       8 QTimeEvt_currCtr@289-296@..\src\qf\qf_time.c
      69      7    380      2     112 QTimeEvt_tick_@299-410@..\src\qf\qf_time.c
      14      3     75      1      16 QTimeEvt_noActive@413-428@..\src\qf\qf_time.c
      21      2    112      1      31 QK_schedLock@74-104@..\src\qk\qk.c
      20      4    118      1      33 QK_schedUnlock@107-139@..\src\qk\qk.c
      11      3    101      1      23 QF_init@144-166@..\src\qk\qk.c
       3      1     10      1       4 QF_stop@169-172@..\src\qk\qk.c
      18      6     76      1      33 QF_run@175-207@..\src\qk\qk.c
      25      3    156      7      34 QActive_start_@214-247@..\src\qk\qk.c
      19      4     78      1      24 QK_sched_@252-275@..\src\qk\qk.c
      66     17    382      1     113 QK_activate_@278-390@..\src\qk\qk.c
       7      3     52      1      13 QF_init@73-85@..\src\qv\qv.c
       3      1     10      1       4 QF_stop@88-91@..\src\qv\qv.c
      46     15    251      1      97 QF_run@94-190@..\src\qv\qv.c
      18      1    124      7      25 QActive_start_@197-221@..\src\qv\qv.c
      23      3    131      1      34 QXK_schedLock@71-104@..\src\qxk\qxk.c
